и	i
в	ve
не	ne
на	nɑ
что	ʂto
с	es
то	tɔ
я	ja
он	on
как	kak
а	a
по	pɔ
к	ka
его	ˈɛɡɔ
все	fsɛ
из	is
за	za
это	ˈɛtə
у	u
же	ʑɛ
от	ɔt
но	nɔ
было	bɨˈɫo
так	tak
бы	bəː
о	o
еще	jɪˈɕːɵ
меня	mɛˈnɤ̟
был	bɯ̞ɫ
только	ˈtolkə
она	ˈɔna
уже	ʊˈʐɛ
ее	script
мне	mne
сказал	skɐˈzaɫ
ты	tə
для	dla
мы	mə
они	ˈɔni
до	dɔ
их	ix̟
когда	kɐɡˈda
или	iˈli
ему	ɛˈmu
ни	ni
вы	vy
даже	ˈdaʒɛ
под	pɔt
него	ˈnɛɡo
если	ˈjesli
чтобы	ˈʂtobɨ
вот	vət
чем	t͡ɕem
где	dɛ
себя	sɪˈba
была	bɨˈɫa
нас	nas
время	ˈvremə
ли	li
быть	bɨt
раз	ras
может	ˈmoʐɨt
есть	jest
со	ˈsu̯o
были	ˈbɨlɪ
там	tam
нет	najt
очень	ˈot͡ɕɪn
кто	kto
без	bes
тут	tot
во	ˈʋo
будет	ˈbudɪt
тоже	ˈtoʐɨ
этого	ˈɛtəvə
надо	ˈnadə
себе	ˈsɛbɛ
да	da
ничего	nɪt͡ɕɪˈvo
при	pri
тебя	tɪˈba
них	ˈniχ
этом	ˈɛtəm
того	tɐˈvo
можно	ˈmoʐnə
этот	ˈɛtət
потом	pɐˈtom
человек	t͡ɕɪɫɐˈvek
вас	ˈwäs
сейчас	sɪˈt͡ɕas
один	ɐˈdin
здесь	zdes
теперь	tɪˈper
тебе	ˈtɛbɛ
через	ˈt͡ɕerɪs
больше	ˈbolʂɨ
всех	fsex
лет	lɛt
том	tom
после	ˈpɔslɛ
сам	sam
нибудь	nɪbʊt
ним	ˈɲim
просто	ˈprɔsto
вдруг	vdruk
над	nat
потому	pətɐˈmu
ведь	ved
вам	vam
дело	ˈdɛɫo
тогда	tɐɡˈda
спросил	sprɐˈsiɫ
жизни	ˈʐɨznɪ
два	dva
чего	t͡ɕɪˈvo
который	kɐˈtorɨj
тем	tem
нам	nam
перед	ˈperɪt
глаза	ˈɡɫazə
всего	fsɪˈvo
уж	ˈuʒ
им	im
своей	svɐˈjej
несколько	ˈneskəlkə
день	den
всегда	fsɪɡˈda
какой	kɐˈkoj
ей	ɛj
более	ˈbolɪje
такой	taˈkoj
тот	tot
этой	ˈɛtəj
нее	
которые	
ней	nɛj
эти	ˈɛtɪ
стал	staɫ
жизнь	ʐɨzn
сразу	ˈsrazʊ
мог	mox
совсем	sɐfˈsem
свою	svɐˈju
об	ˈob
почему	pət͡ɕɪˈmu
пока	pɐˈka
конечно	ˈkɔnɛt͡ʃnɔ
люди	ˈlʉdɪ
года	ˈɡodə
человека	t͡ɕɪɫɐˈvekə
куда	ˈkudɐ
почти	pot͡ʃˈti
руки	rʊˈki
людей	lʉˈdej
хотя	xɐˈta
три	tri
снова	ˈsnovə
хорошо	xərɐˈʂo
знаю	ˈznaju
много	ˈmnɔɡo
сказать	skɐˈzat
будто	ˈbutːə
лишь	liʂ
голову	ˈɡoɫəvʊ
про	prə
сказала	skɐˈzaɫə
всем	fsem
между	mɛʒˈdu
говорит	ɡəvɐˈrit
никогда	nɪkɐɡˈda
опять	ɐˈpæt
свои	ˈsvɔi
другой	drʊˈɡoj
мой	moj
своих	svɐˈix
эту	ˈɛtʊ
такое	taˈkoje
знал	znaɫ
своего	svəjɪˈvo
таки	tɐˈki
собой	sɐˈboj
дома	ˈdoma
времени	ˈvremɪnɪ
чуть	ču͕t˙
свой	svoj
лучше	ˈɫut͡ʂʂə
именно	ˈimɛnno
друг	druh
лицо	lɪˈt͡so
руку	ruˈku
вообще	ˈβoobɕːe
свое	ˈsvɔɛ
которой	
никто	nɪkˈto
кого	koˈɡɔ
этих	ˈɛtɪx
говорил	ɡoˈvɔriɫ
вместе	ˈvmeste
назад	naˈzat
нем	nɛm
хоть	xot
понял	ˈponɪɫ
рядом	ˈradəm
словно	ˈsɫovnə
всю	fsu
одной	ɐdˈnoj
ответил	ɐtˈvetɪɫ
тех	tex
слова	słowa
нужно	ˈnuʒnɔ
быстро	ˈbɨstrə
какие	kɐˈkijɪ
стало	ˈstaɫə
эта	ˈɛtə
ж	zhe
своим	svɐˈim
весь	ˈʋeɕ
давно	dɐvˈno
видел	ˈvidɛɫ
дверь	dver
место	ˈmɛstɔ
должен	ˈdɔɫʒɛn
те	tɛ
этим	ˈɛtɪm
долго	ˈdɔɫɡɔ
делать	ˈdeɫət
прямо	ˈpramə
могу	mɐˈɡu
которых	
которая	
значит	ˈznat͡ɕɪt
хотел	xoˈtɛɫ
сегодня	sɪˈvodnə
сторону	ˈstorənʊ
одного	ɐdnɐˈvo
такие	tɐˈkije
две	dvɛ
нельзя	nɪlˈza
тому	tɐˈmu
совершенно	səvɪrˈʂɛnːə
которого	
случае	ˈsɫut͡ɕɪje
голос	ˈɡoɫəs
одна	ɐdˈna
подумал	pɐˈduməɫ
головой	ɡəɫɐˈvoj
деньги	ˈdenɡɪ
стороны	stərɐˈnɨ
самом	
ноги	ˈnɔɡi
сколько	ˈskolkə
дальше	ˈdalʂɨ
